,ERI Job Title,SOC,eDOT,Level
0,Data Analyst,151299,39162030,8.0
1,Data Architect,152041,39162601,8.0
2,Data Engineer,151211,30062007,8.0
3,Data Scientist,151211,30062004,8.0
4,Database Administrator,151245,39162010,8.0
5,Program Manager (Government Contractor),119198,189167027,8.0
6,Project Manager Agile,152098,221167024,4.5
7,Project Manager Assistant,119198,189117061,8.0
8,Project Manager IT,113021,30137002,8.0
9,Project Manager Systems,113021,30137500,8.0
10,Project Manager Technical,111021,189117195,8.0
11,Solutions Architect,151232,33167074,8.0
12,Systems Engineer,172061,30062014,11.5
13,Systems Engineer Lead,172061,30062021,8.0
14,Systems Engineer Principal,172071,30062062,11.5
